E,KE
1283.4004, 1342.9326
1284.0472, 1336.7971
1284.098, 1322.5806
1284.0118, 1308.511
1283.9832, 1305.4651
1284.2004, 1303.045
1273.1211, 1292.4857
1277.0719, 1295.2258
1280.3264, 1295.909
1277.2415, 1293.4701
1279.7833, 1296.7386
1281.4312, 1300.7169
1282.7262, 1299.5365
1279.1091, 1293.5516
1279.4075, 1296.0559
1283.5739, 1301.0392
1278.5475, 1293.126
1283.7054, 1299.242
1282.8873, 1300.2488
1283.9854, 1296.3503
1283.7313, 1296.1622
1277.4703, 1291.0712
1278.7941, 1288.586
1285.8918, 1295.2457
1301.3346, 1313.0651
1313.0795, 1323.8384
1323.9006, 1332.7761
1336.135, 1345.2258
1351.7552, 1361.8738
1370.5654, 1380.429
1334.0272, 1342.3566
1299.341, 1308.9613
1276.0165, 1285.4918
1245.8391, 1255.5431
1219.0658, 1227.5278
1186.6023, 1194.5647
1149.1648, 1157.0348
1101.6187, 1110.0643
1048.4501, 1058.3289
999.93195, 1008.419
961.4393, 969.7723
919.8368, 928.93933
883.86346, 894.7373
853.4618, 864.3016
824.86707, 835.2307
799.16034, 812.0831
777.4232, 789.4598
755.0245, 764.9451
733.2005, 744.19275
716.02264, 724.99786
696.4281, 707.9538
676.894, 688.26886
662.7739, 669.9354
645.7717, 653.40765
637.2254, 645.2592
627.038, 634.71313
613.86084, 622.81714
603.229, 613.3385
595.3167, 603.65894
585.99274, 597.2631
578.43286, 588.1611
569.21246, 577.89404
562.8649, 570.0372
554.1872, 562.6138
546.5016, 553.87537
543.7076, 553.39
540.1667, 551.4921
529.9015, 537.8081
520.65625, 529.48676
520.2894, 528.2994
513.81195, 521.8764
507.85175, 518.06213
504.79138, 513.2884
495.56033, 504.77097
486.38446, 497.53653
479.4393, 488.8755
472.44073, 483.349
463.7067, 473.65225
455.67996, 464.879
453.55695, 464.01318
449.50015, 458.22745
447.48135, 458.91922
441.71436, 455.0045
437.37073, 447.45786
430.97958, 448.0885
428.92978, 441.5143
423.01483, 439.31256
420.11432, 433.44104
416.2711, 427.55557
414.134, 427.98044
408.79718, 422.59015
406.02216, 423.812
403.7354, 420.20215
405.91113, 419.40872
404.15015, 419.13684
396.24585, 411.90842
393.6327, 412.09924
389.95993, 402.6975
390.11008, 405.5489
384.50473, 399.3595
381.75607, 395.7108
378.72934, 397.10754
375.79678, 389.00595
