E,KE
1152.1786, 1154.0316
1152.7639, 1153.6586
1152.4464, 1153.3486
1152.1011, 1153.281
1148.7208, 1149.4595
1151.4142, 1152.4302
1150.2502, 1151.5477
1150.3547, 1150.2758
1148.305, 1148.9348
1151.5026, 1152.3748
1150.3887, 1151.3657
1149.0366, 1149.61
1150.4325, 1151.4343
1148.6484, 1149.578
1152.5653, 1152.4357
1152.2368, 1152.9575
1150.233, 1150.4628
1157.0105, 1157.5789
1160.0964, 1160.4194
1164.0392, 1165.3599
1165.8644, 1166.7317
1167.6138, 1168.0896
1169.3695, 1169.7455
1171.1163, 1171.7069
1173.4089, 1173.9293
1174.0741, 1174.6953
1181.0305, 1181.4801
1181.2744, 1181.4329
1186.2292, 1186.6306
1185.3121, 1186.2117
1172.6399, 1173.0096
1154.0404, 1154.6785
1128.646, 1128.4211
1075.3046, 1076.2032
1027.798, 1028.0527
985.7641, 986.6191
944.121, 945.10205
905.5953, 906.89606
871.70605, 872.3955
838.45526, 839.15717
810.68243, 811.51086
783.2619, 784.5731
757.86926, 758.5739
736.39124, 737.1306
713.6934, 714.5719
691.3951, 692.3045
675.83215, 676.2597
658.4812, 659.04816
640.88446, 641.6959
628.57117, 629.8236
615.63556, 616.3481
603.39703, 604.1372
592.3125, 593.4988
579.7443, 581.0745
566.97943, 568.10944
558.66895, 559.94305
547.116, 547.8777
538.17267, 539.9754
528.5511, 529.9597
518.14764, 519.91376
507.13452, 507.8926
501.29373, 502.1104
493.77252, 494.40762
485.457, 486.1936
478.05698, 479.73697
470.45404, 471.35123
465.92493, 466.44867
460.1258, 461.2994
451.90076, 452.8879
449.41306, 450.75632
443.6375, 444.14188
438.30078, 439.18356
434.4339, 435.85645
428.17752, 429.3699
423.48187, 424.46564
418.93823, 419.53568
415.5134, 416.7424
409.0686, 410.20856
405.64923, 407.0745
401.61325, 403.08798
398.7318, 399.4572
391.77945, 392.82443
387.84598, 389.57037
381.87283, 383.69562
379.01712, 380.31113
374.30972, 375.71448
368.75653, 370.30655
362.85956, 364.77753
360.80704, 362.0572
357.84256, 359.26
354.21817, 355.78265
349.40414, 351.51053
345.06323, 347.42163
340.28607, 341.4765
336.4486, 338.84354
332.7959, 334.8349
330.5646, 332.8026
328.02686, 330.9059
321.41336, 323.35483
320.84222, 323.2025
317.3933, 319.36743
313.3968, 315.486
310.39963, 313.1196
307.38174, 309.7292
303.7738, 306.1627
299.70877, 303.03348
297.04877, 299.95547
292.5547, 294.51773
291.75043, 293.55426
290.59384, 293.3992
287.94913, 290.32233
284.9605, 287.87222
282.32416, 284.79605
279.19144, 282.16968
275.99252, 278.03833
272.8843, 275.38763
270.35184, 272.8112
267.68954, 270.27908
264.52893, 267.17175
262.34897, 264.1794
259.47766, 263.10214
257.23563, 259.63306
255.94664, 259.7502
253.57321, 256.26352
250.94347, 254.30107
248.5163, 251.64482
246.78336, 250.11559
244.85097, 248.03236
243.15921, 246.68762
242.03381, 245.50168
240.42151, 243.68898
240.21796, 243.90565
238.14348, 242.21962
237.01825, 240.84872
234.45615, 238.45523
233.40219, 237.50136
231.62961, 235.12553
228.26936, 231.78545
227.1225, 231.88359
225.37796, 229.8734
223.54553, 227.736
222.21257, 226.20695
220.0188, 224.85796
218.69653, 223.72023
217.04662, 221.76654
215.37622, 219.81842
212.96341, 216.60384
211.76852, 216.61867
209.96156, 214.23944
208.31862, 213.24391
207.63373, 212.11043
206.81123, 210.6711
205.21709, 208.81651
