E,KE
1197.6328, 1206.6449
1198.2076, 1203.3365
1196.4917, 1199.6262
1194.993, 1199.2281
1192.7322, 1196.1615
1192.4769, 1195.6511
1195.4867, 1199.9297
1197.5392, 1200.2633
1196.7716, 1200.5536
1190.9395, 1194.0876
1195.2594, 1199.9165
1193.2341, 1199.3639
1195.8276, 1199.2539
1196.9124, 1199.1593
1196.4622, 1200.1205
1193.0881, 1195.0258
1192.6487, 1195.4458
1196.4874, 1199.727
1197.1133, 1199.7562
1191.7439, 1195.1068
1196.424, 1198.6069
1197.625, 1200.7085
1195.3492, 1199.3315
1196.7571, 1201.7345
1196.2397, 1199.1931
1195.7379, 1199.0574
1197.4824, 1199.8453
1196.3949, 1198.6825
1196.2144, 1201.6556
1195.9198, 1197.6439
1194.3995, 1198.3478
1197.5858, 1199.0388
1196.9781, 1199.6896
1192.7324, 1195.5839
1195.7136, 1198.0896
1196.7915, 1199.404
1194.6882, 1200.4808
1197.6128, 1200.3988
1193.9877, 1195.3303
1196.9717, 1198.4897
1195.9315, 1198.3881
1197.2236, 1198.571
1196.558, 1197.0835
1196.712, 1198.2478
1197.042, 1199.4321
1195.697, 1196.8805
1197.1598, 1201.8514
1197.1128, 1199.8206
1198.4121, 1202.6993
1201.8412, 1203.7622
1206.8109, 1210.0902
1209.5, 1214.7754
1200.9093, 1202.6912
1164.3309, 1166.5903
1128.1394, 1129.9523
1092.7527, 1094.5074
1060.825, 1062.7816
1029.648, 1031.1991
1001.40314, 1002.29083
972.47406, 975.2452
947.4672, 950.19366
921.21875, 924.7649
900.7959, 903.6144
880.8589, 885.4134
857.9131, 859.50916
841.47577, 846.28577
824.8594, 829.1524
807.57733, 811.5609
792.8666, 798.1825
775.8753, 779.3033
761.17365, 762.604
750.21344, 754.33234
736.6123, 737.50946
721.21967, 722.5676
713.2959, 716.0994
701.98267, 706.1574
690.9634, 694.50836
679.08997, 684.8344
668.67505, 672.51575
657.4462, 663.54926
650.1209, 655.703
639.718, 642.85016
631.334, 634.7136
622.9104, 625.6122
615.16516, 619.5748
608.13086, 612.0278
597.17737, 601.00543
590.46136, 595.32367
585.40247, 589.5932
577.38007, 580.75586
571.6079, 576.55414
564.61206, 570.72687
559.3124, 565.3193
551.8545, 558.4051
546.56506, 551.2351
541.0401, 544.18304
536.658, 541.73145
531.28455, 535.6631
524.3007, 530.70233
519.36127, 524.64514
514.411, 520.9917
