E,KE
1169.5717, 1254.8269
1169.1174, 1241.4009
1169.5334, 1207.1139
1159.3694, 1192.4987
1169.5481, 1199.0592
1169.5708, 1192.3213
1159.7748, 1179.8456
1169.5693, 1187.5513
1167.3566, 1186.6825
1163.7595, 1183.3323
1163.0186, 1181.0109
1164.6333, 1182.7979
1197.1482, 1212.4719
1236.5171, 1252.5984
1269.8306, 1285.1576
1280.9292, 1293.9001
1287.7239, 1300.5968
1288.1942, 1299.9994
1290.6365, 1302.5989
1282.8448, 1294.6201
1272.8164, 1284.0028
1262.258, 1273.603
1190.8367, 1200.3624
1111.5709, 1121.46
1064.2815, 1075.0669
1025.8365, 1034.6508
993.7965, 1004.17535
960.0701, 973.8216
934.85547, 945.7627
909.49786, 919.5452
888.5016, 899.30524
870.7188, 881.53326
850.7741, 862.69135
829.90283, 840.19244
820.09125, 832.291
803.7743, 817.0585
790.20184, 800.6692
770.44403, 781.8845
755.3517, 767.4396
741.33795, 751.4882
734.3956, 747.4673
719.70667, 732.1075
707.6028, 718.0584
698.41974, 714.2293
684.7221, 698.9823
671.53735, 684.87305
659.99396, 673.2909
652.6339, 665.12836
639.2551, 650.7919
630.682, 642.0543
625.79926, 637.8278
620.26855, 633.1576
614.64905, 628.1336
607.1985, 619.53796
600.10345, 611.1268
594.9096, 606.3388
592.4151, 606.8263
588.2564, 600.20306
586.57263, 597.23016
580.2632, 594.4011
586.76825, 597.08374
585.59326, 598.23737
580.28534, 594.7937
578.0013, 592.1171
572.9003, 586.08704
568.5793, 584.9592
563.1994, 576.45557
561.2103, 576.27515
552.78564, 565.79376
546.47534, 558.11084
538.6462, 551.5816
530.82007, 545.17444
532.401, 544.4009
526.5233, 540.563
519.8352, 532.4716
518.2025, 530.02075
512.21155, 525.0788
509.03348, 520.1813
505.22723, 522.2516
497.86047, 514.6436
494.13245, 508.7309
486.84457, 500.65198
483.26105, 501.9241
478.5779, 492.0563
477.16684, 492.8605
474.2617, 490.3234
467.50317, 486.52533
467.78296, 485.8055
461.91342, 478.11798
459.86444, 474.89322
456.54224, 471.1253
450.93607, 468.61838
445.722, 462.42346
443.67877, 460.48044
440.598, 459.6543
438.7351, 455.06552
435.89532, 453.5974
430.765, 447.64368
426.05792, 442.85773
419.9342, 436.44485
418.43604, 434.35342
413.96533, 432.0297
409.1721, 429.2573
404.2032, 417.4162
401.53976, 416.19174
398.70325, 417.24655
396.45212, 415.58765
393.6615, 410.3145
390.08383, 407.93066
388.17575, 406.752
385.0281, 400.56616
381.74664, 404.98953
377.01587, 398.72113
374.40625, 392.40088
370.10886, 392.71722
367.1445, 389.34332
363.84253, 385.48398
359.27988, 379.74323
354.32355, 373.96057
351.60608, 372.24704
348.63373, 366.77466
345.44717, 364.965
343.04584, 364.1014
340.3622, 366.6861
336.8031, 360.92197
335.38144, 358.4467
332.51517, 362.0021
331.1912, 357.08417
328.31442, 351.51334
325.9083, 356.77612
323.015, 351.88586
319.8039, 345.04514
319.56906, 347.82016
317.92987, 344.3938
314.9396, 345.0188
312.39008, 343.73013
308.96146, 335.0948
305.33508, 336.62738
304.0736, 338.99057
300.18005, 330.01584
299.02786, 329.48383
294.63095, 327.51392
292.7472, 325.7871
289.3664, 322.32645
287.45184, 321.57782
284.69962, 314.1477
282.47437, 310.55722
280.30014, 307.85156
278.5056, 313.62314
276.12036, 312.96207
272.27094, 303.29257
273.35516, 303.52332
270.34955, 296.5282
265.76315, 299.2133
265.7452, 299.57178
264.50922, 293.99585
261.94968, 291.99942
263.46262, 293.41513
261.23007, 290.8352
260.42224, 292.05005
260.685, 297.03326
258.0594, 291.36395
256.73367, 292.12402
255.18095, 284.93744
252.6901, 290.5471
249.30745, 282.86728
248.10028, 289.64505
246.22333, 286.7018
243.6125, 287.73853
240.73409, 290.7932
237.79591, 285.0114
236.60065, 282.06705
235.52939, 280.48993
234.34583, 272.8258
229.40033, 268.76685
229.98253, 273.8117
227.91322, 274.43555
226.59596, 268.41635
224.53157, 271.07388
223.18997, 274.28705
220.59126, 265.78763
219.2179, 268.9369
216.9135, 263.3677
214.93353, 265.76715
212.66304, 259.6401
210.70297, 252.99069
209.39821, 262.0828
207.44183, 258.76825
205.32603, 255.37457
204.03511, 258.41977
201.6946, 256.9156
200.8396, 259.60126
198.73036, 258.17923
197.00809, 261.84268
195.34972, 257.23846
193.42964, 256.35062
191.92265, 254.28918
191.66194, 259.70047
189.99304, 256.73373
187.12958, 258.6946
186.01657, 258.37152
185.909, 251.91136
185.06635, 258.025
183.39386, 256.27722
182.06104, 251.23427
180.3624, 246.67987
178.7272, 243.57425
177.18338, 246.40416
176.0006, 250.22786
174.5556, 247.54372
172.64105, 240.77885
171.74254, 245.32793
169.19916, 238.68867
168.12979, 245.44518
166.21664, 239.34563
165.06674, 241.62865
163.27893, 235.04999
162.14703, 242.42313
160.11197, 238.73872
158.15112, 239.05316
156.44785, 240.2097
155.49261, 237.28244
155.00528, 236.35185
153.60075, 252.60997
151.85858, 252.9735
150.12518, 241.24463
147.91528, 246.67531
145.70386, 248.1977
143.92407, 237.30971
141.96246, 233.01038
140.0044, 240.48695
139.08076, 239.6976
136.96115, 242.86897
134.01248, 244.71599
131.71556, 241.86736
130.56805, 239.96277
128.349, 233.43951
126.07582, 234.0042
123.84972, 238.4768
122.43021, 224.6364
120.9947, 226.99434
118.38326, 234.01688
116.050354, 233.24559
116.52741, 234.85399
114.66007, 226.9751
113.944, 237.4615
112.42783, 229.7812
111.513054, 233.29611
109.56419, 233.7141
109.30425, 237.02367
108.63954, 241.24046
106.99107, 229.22305
104.822876, 238.04045
103.96568, 238.72026
102.32167, 230.02815
100.97508, 225.52452
99.82089, 233.12506
97.403076, 229.76013
95.3647, 221.29053
94.29022, 232.89247
93.0063, 233.42056
91.02278, 233.02164
88.85835, 239.63008
86.40605, 231.76572
85.630325, 238.72182
83.629105, 237.91989
81.14365, 243.04895
81.00255, 235.52681
79.214584, 239.1353
77.662, 239.20233
76.86287, 239.10875
75.70897, 232.07043
73.95999, 237.43892
72.68889, 230.48055
71.18356, 233.58562
69.39926, 246.72157
67.18942, 230.69464
65.30524, 233.7081
64.76634, 248.76788
63.957886, 229.92355
61.881424, 235.02704
60.233, 222.91911
58.453506, 229.37392
56.360703, 245.26547
53.955948, 237.48491
51.767914, 244.73431
50.438934, 234.97624
48.33786, 250.7246
45.629883, 244.92589
44.673492, 228.42935
42.018692, 237.5557
40.115707, 234.5963
36.935654, 238.94711
34.833603, 233.55171
31.991898, 229.24959
30.616394, 230.9124
28.711227, 249.34251
27.133636, 243.81615
24.91864, 241.17026
21.410416, 243.97209
21.6734, 249.2615
18.600922, 251.25415
17.276993, 250.29185
15.361435, 255.56694
12.733688, 261.45273
9.487183, 248.75404
7.4927673, 260.6114
5.610077, 276.56497
2.787323, 259.09628
-0.054718018, 255.56242
-1.6633606, 267.80734
-5.579193, 258.7024
-8.362061, 281.58408
-9.760773, 273.7633
-13.511993, 269.04446
-17.313385, 279.19977
-19.084442, 261.3736
-22.480133, 278.90417
-25.795471, 272.98596
-29.633942, 277.85168
-31.541931, 253.87039
-35.40799, 262.20215
-37.897217, 269.6643
-40.590546, 263.72372
-43.657562, 295.46036
-46.38449, 278.10226
-50.21289, 268.6748
-53.193726, 271.4617
-54.3692, 274.45474
-58.174957, 264.13046
-60.140198, 278.93692
-62.258514, 270.98853
-65.70743, 272.01477
-67.2984, 257.91858
-68.59006, 265.39435
-71.68439, 261.0387
-74.900604, 261.5257
-77.87372, 260.87244
-79.75362, 254.80644
-82.84375, 259.55692
-85.74213, 266.9258
-87.145935, 272.43082
-91.20404, 280.48337
-94.85031, 274.87094
-96.66, 270.74973
-98.77966, 268.0276
-102.90756, 274.01636
-105.16922, 275.9014
-107.81464, 271.57373
-110.52792, 282.79938
-113.686676, 286.1586
-115.933014, 273.9017
-118.58627, 289.97342
-120.2146, 282.8638
-123.73944, 286.9595
-125.60379, 279.19907
-128.52673, 299.93503
-130.83337, 314.8161
-136.17297, 297.9685
-138.00287, 284.3868
-141.47299, 309.42606
-145.6005, 293.31033
-149.61472, 327.78262
-151.95294, 307.11993
-157.86053, 308.52103
-160.23883, 314.91202
-162.62085, 310.70996
-165.73962, 297.85965
-170.31546, 302.63992
-173.66956, 288.57736
-174.82849, 320.6437
-179.88657, 309.62186
-182.95642, 300.3705
-186.53293, 299.2833
-189.16696, 296.92334
-193.61624, 313.20636
-197.17569, 303.42502
-200.62827, 310.98813
-204.54544, 314.3077
-208.62695, 326.1217
-211.74628, 309.82526
-215.22067, 306.5613
-219.35687, 316.30347
-223.31168, 310.20706
-226.95273, 314.9459
-232.33826, 311.6278
-235.71268, 318.32718
-238.80667, 318.2474
-244.53, 310.94113
-247.13342, 333.16833
-250.98972, 302.4927
-254.49863, 329.7792
-259.94144, 331.11276
-263.62946, 330.9403
-266.6402, 317.68585
-268.98926, 335.82892
-273.89853, 336.66788
-278.3762, 342.7316
-281.85474, 352.30994
-288.12103, 344.79694
-291.36935, 326.8973
-294.0372, 337.3361
-298.78424, 337.36652
-302.91446, 354.5529
-306.09067, 340.48642
-312.10422, 333.08066
-316.44064, 337.73196
-320.95526, 324.48572
-324.30338, 333.1724
-328.02277, 341.68787
-333.0444, 331.4045
-336.68115, 339.31146
-344.3711, 342.81317
-346.12408, 326.95465
-350.93903, 337.04968
-354.2343, 345.56116
-359.26343, 324.68744
-365.61868, 323.6794
-368.53104, 341.69315
