E,KE
1329.9952, 1401.248
1330.397, 1382.2854
1329.9485, 1355.6611
1329.975, 1352.5619
1329.9413, 1352.7886
1329.9347, 1349.008
1324.106, 1340.0776
1322.3907, 1338.5671
1332.9603, 1349.5778
1380.0359, 1395.1793
1434.4067, 1450.365
1479.3868, 1494.5323
1507.3262, 1521.5476
1510.2965, 1524.099
1472.5554, 1487.502
1442.2228, 1453.1566
1400.299, 1411.6466
1359.5608, 1371.1259
1322.1517, 1332.324
1288.0736, 1297.7642
1253.5602, 1262.964
1215.1184, 1224.053
1186.201, 1195.974
1156.2793, 1165.3287
1124.8468, 1132.1449
1092.4714, 1100.1097
1045.0114, 1053.2109
1014.3679, 1021.56146
981.2284, 990.36383
951.5495, 959.09845
920.3656, 929.92267
893.0338, 902.1142
867.0929, 875.8399
838.42584, 847.76935
819.3755, 827.8224
798.60175, 805.59436
786.01556, 794.4551
768.96313, 776.5808
751.6272, 760.0757
739.18774, 745.737
726.1375, 732.5279
714.57916, 721.52405
704.76807, 712.8864
697.6549, 704.49286
692.26337, 698.8093
680.8914, 688.10986
677.424, 683.9977
671.6754, 679.8978
674.4418, 685.046
671.49255, 679.1966
670.21045, 677.8128
661.4397, 667.09094
651.9246, 660.7118
642.364, 647.9482
633.3666, 639.5883
620.492, 627.17194
618.45825, 625.9059
609.4397, 616.4537
604.42224, 612.6491
593.2068, 600.0744
585.9692, 594.6284
578.9199, 587.04254
574.5615, 582.7919
571.49194, 578.801
565.5153, 577.66876
559.27747, 569.57605
551.6322, 560.4988
549.1492, 559.77454
544.4354, 553.48474
540.31665, 548.4244
533.06384, 542.1705
528.28503, 540.65576
520.99963, 529.5219
519.1143, 528.5192
514.8464, 525.2538
509.71017, 520.17456
506.4707, 519.7553
503.0019, 511.62277
498.84103, 509.13107
498.10703, 512.45856
489.26978, 501.29672
487.74527, 500.4697
482.64667, 492.478
474.0786, 487.5049
479.59912, 492.72903
474.74295, 488.19852
469.10226, 488.70236
464.90222, 478.11295
460.35104, 474.86856
456.0162, 475.3565
453.31302, 467.02332
451.8314, 466.913
450.0075, 463.5998
448.2695, 464.26697
441.8077, 459.2058
438.03073, 456.28857
433.78235, 449.21542
430.65277, 443.27682
425.26398, 440.296
421.86102, 439.35416
419.1703, 440.85843
415.34048, 430.81824
410.90802, 433.37216
408.58047, 423.0048
405.18124, 423.8978
400.82376, 420.37573
393.41306, 410.76056
391.29266, 406.66357
389.0263, 406.27258
385.3439, 399.08463
378.0857, 393.50958
376.8511, 390.42654
373.0756, 393.9536
367.7094, 384.05286
364.27478, 383.59564
363.2658, 379.75797
359.6467, 382.39825
358.9103, 379.09512
356.38727, 375.34616
352.92776, 375.27756
349.20285, 369.86224
347.638, 371.27682
344.5104, 369.76077
340.48688, 368.20837
337.63495, 360.61707
333.9587, 356.4402
330.32367, 351.26013
327.6526, 357.2185
325.9957, 351.67523
322.86823, 346.63644
320.64117, 344.60046
316.7519, 342.8695
314.72, 339.61536
310.55542, 333.3527
309.2594, 329.28738
307.04733, 330.12994
304.88718, 330.95053
302.93475, 329.2454
301.69516, 324.74542
300.55017, 328.76526
298.4667, 325.2088
296.2874, 323.18588
292.70288, 323.06204
290.06262, 314.33215
288.8147, 311.06976
286.75186, 320.55804
284.842, 312.6036
282.38904, 305.71848
279.11685, 308.2573
277.26437, 302.72144
275.50092, 302.85394
272.945, 303.15506
271.2407, 297.35712
267.17618, 303.8287
265.76407, 293.18512
263.77368, 295.29318
261.44467, 292.79227
260.88474, 293.3786
259.68478, 291.97964
258.49765, 285.71445
255.63864, 288.09726
254.99734, 284.52652
250.47835, 285.09097
250.45901, 281.9815
250.06778, 282.28992
247.413, 282.3148
246.06235, 277.68484
243.98291, 276.1056
242.77884, 274.79343
240.36096, 273.81726
238.88232, 273.73618
236.8177, 275.36646
233.92531, 277.13303
232.5341, 274.90024
230.13303, 271.12546
228.02019, 268.84976
224.85458, 267.31122
224.087, 263.0961
222.4654, 261.54684
220.17715, 267.51318
218.41449, 259.79398
217.29613, 262.895
214.36078, 257.97223
213.00258, 254.2577
212.04538, 258.0039
210.28714, 255.3569
209.1037, 259.92328
206.16669, 251.13414
204.16104, 250.92339
203.33136, 250.38908
202.91196, 250.3805
201.34464, 255.97525
199.61696, 248.1927
198.28044, 249.11974
195.91164, 249.4483
195.26495, 257.62796
194.04503, 254.44226
192.22708, 249.18585
191.0986, 249.89946
189.70395, 246.30026
188.0073, 249.51309
186.10822, 245.59723
185.57574, 246.15486
183.20757, 250.7181
181.8106, 253.70535
180.32541, 249.6035
176.91129, 237.62003
175.6832, 242.42728
173.1314, 253.05458
171.66403, 237.35048
170.39334, 239.22153
168.2738, 244.89296
167.04855, 243.2677
165.74408, 253.70128
163.38528, 242.22887
161.76712, 237.95238
159.61536, 233.56595
157.90598, 230.66032
156.48334, 230.64268
155.25711, 235.6289
152.81961, 236.9096
152.63907, 241.33185
151.39407, 233.74985
150.0149, 233.54555
148.4297, 241.40913
146.45744, 242.10077
144.85675, 242.7417
141.54648, 236.86316
140.52924, 233.83714
139.7538, 234.43701
137.67831, 235.01898
136.10881, 234.41905
134.17926, 227.77463
131.85435, 222.34045
131.7531, 224.35481
129.41714, 230.73103
128.23938, 220.11342
125.96933, 234.35794
125.0313, 222.25764
123.84791, 227.1263
122.83076, 235.53137
122.6421, 247.528
119.726845, 243.71306
119.979034, 237.3718
119.91164, 240.67543
117.19943, 245.84537
116.79512, 246.59073
115.04621, 242.02332
111.663895, 232.90448
111.61435, 244.28606
110.811295, 237.35631
108.736176, 246.99614
106.415955, 242.0226
105.42456, 239.72034
103.39024, 248.1301
100.622375, 245.74068
98.7404, 239.208
95.53296, 242.15535
94.34328, 238.87256
91.296326, 236.7224
89.41322, 234.03036
86.95387, 235.2564
84.5163, 230.464
83.17186, 244.49767
82.16498, 228.82062
80.15488, 226.8381
78.32002, 227.71225
78.31311, 230.7039
75.840744, 236.2333
73.766525, 231.3478
73.28592, 224.9121
71.78737, 223.97731
70.89906, 225.60544
69.388306, 243.38918
67.931946, 231.68236
65.18207, 227.78427
64.330475, 234.43565
62.879974, 239.5538
60.925995, 249.913
58.865875, 237.62607
56.977875, 235.9071
54.715332, 224.80026
52.33194, 235.58247
49.757065, 239.084
48.35379, 234.67346
47.077774, 243.56436
44.802307, 244.92763
42.505646, 241.39427
40.22003, 242.4816
37.788742, 237.86772
35.63153, 222.60858
34.18196, 236.42131
31.12674, 234.3167
28.799713, 242.43016
26.92128, 241.41542
24.264633, 249.87312
21.814392, 254.29198
20.202713, 249.36198
16.911743, 238.4658
14.533737, 242.86034
12.425354, 243.41399
10.274948, 237.02164
7.9267273, 251.88806
5.8500824, 259.8826
3.3785553, 243.0569
0.6405945, 270.79807
-1.1060486, 273.18835
-3.354828, 261.28653
-5.219513, 266.14386
-8.464386, 268.46613
-10.295502, 264.29318
-12.078949, 270.4627
-15.712952, 269.38763
-16.644989, 261.88135
-20.174774, 270.8048
-21.837677, 262.7373
-25.311554, 252.14783
-28.415802, 265.92786
-30.941528, 280.07166
-34.417725, 290.91162
-36.174347, 273.6033
-39.568787, 276.5702
-42.900146, 271.38977
-45.28125, 277.88388
-48.27545, 279.40732
-50.98413, 284.64938
-53.340576, 289.92374
-58.20987, 293.5253
-60.28369, 299.7089
-63.69525, 291.60727
-65.50238, 272.68335
-69.410736, 302.1216
-71.98688, 284.43967
-75.29373, 282.55212
-77.74109, 294.59067
-81.83603, 295.164
-85.57956, 287.76068
-88.10129, 289.90295
-91.54404, 287.96768
-93.707855, 286.6307
-98.07916, 288.85013
-101.76111, 289.622
-105.84686, 279.20667
-110.14264, 282.23163
-112.34439, 289.9097
-115.18472, 293.43463
-119.181305, 275.09647
-122.638824, 289.8522
-127.51248, 282.92273
-130.17209, 288.57553
-133.3743, 282.4197
-136.39499, 278.72012
-139.74805, 291.86005
-144.07318, 295.1782
-147.61761, 310.73154
-149.39044, 300.68582
-153.34698, 302.93817
-156.23013, 293.88776
-159.18036, 301.09055
-162.7626, 276.38666
-165.75595, 286.06915
-168.544, 289.51474
-170.21799, 281.8185
-174.2818, 280.3699
-176.21484, 305.6266
-178.75687, 305.22238
-182.35803, 305.42215
-185.21857, 293.45187
-188.7456, 299.7832
-192.26215, 291.29962
-196.09424, 294.9731
-199.66196, 290.98288
-202.77539, 281.33423
-204.52524, 285.31488
-209.0892, 300.39487
-210.78717, 306.3423
-215.27112, 306.77655
-218.31744, 273.0789
-222.06857, 305.82382
-222.83395, 320.8945
-227.12943, 314.97916
-231.14505, 302.32718
-232.71188, 317.45474
-235.1514, 309.48605
-239.72604, 311.05392
-243.4317, 300.7204
-245.89975, 300.12607
-249.74573, 298.22467
-251.62277, 297.0457
-255.99878, 304.99677
-258.60144, 297.43347
-262.94656, 313.9902
-266.99902, 311.859
-270.3778, 305.7055
-274.78165, 308.55185
-279.3905, 318.95526
-280.56534, 301.85062
-284.88663, 308.1658
-290.23373, 320.4028
-293.43048, 305.55927
-297.62134, 310.4206
-300.55026, 302.77554
-305.9729, 319.50586
-309.5965, 309.8604
-314.63043, 304.91693
-318.09515, 323.2777
-320.80377, 304.789
-327.24918, 338.26968
-332.65204, 331.98694
-336.0126, 318.05966
-338.5515, 324.73126
-343.2215, 325.1485
-347.2128, 315.97043
-350.7692, 321.07895
-356.0462, 322.47772
-359.19995, 332.23785
-363.5814, 315.0793
-368.17548, 323.97687
-370.15536, 331.1763
-375.24118, 320.08682
-378.02396, 327.65347
-382.69547, 311.01138
-384.96582, 321.7917
-388.72232, 339.71658
-391.33286, 337.16385
-395.8444, 324.1124
-399.88104, 312.43628
-402.8826, 327.76932
-406.6261, 322.80743
-412.26608, 319.57077
-415.9144, 307.88474
-418.23468, 325.29565
-421.4485, 337.30273
-425.50415, 333.40076
-430.46057, 321.1856
-433.13782, 321.07813
-437.29965, 314.6083
-441.32816, 350.35526
-444.62057, 320.11246
-449.2157, 338.5738
-452.28806, 324.48978
-457.2538, 338.11642
-460.055, 321.7497
-463.87415, 314.17682
-466.5628, 318.96106
-470.4723, 332.0921
-475.8413, 337.86182
-478.95007, 338.22498
-481.66193, 318.3186
-485.46082, 299.69574
-490.8573, 311.3141
-491.86832, 315.55264
-496.034, 326.26
-502.2435, 351.20383
-505.65283, 344.0539
-509.70578, 354.8876
-512.60535, 346.65375
-516.7145, 347.71933
-521.8063, 328.25314
-525.1481, 339.05737
-529.8581, 321.0022
-535.4476, 314.5761
-538.8467, 329.2084
-543.3292, 344.67444
-544.2938, 333.3695
-549.8694, 327.3662
-552.3575, 337.83337
-559.1294, 343.6256
-562.03564, 358.91064
-566.146, 349.3655
-570.31976, 349.25574
-574.0466, 347.33246
-579.1272, 354.3893
-582.7059, 334.69098
-588.1356, 363.9389
-591.8171, 355.52094
-598.7715, 343.35126
-600.9278, 347.16797
-606.90125, 353.718
-610.9908, 350.83374
-616.16174, 350.7928
-622.08185, 369.95807
-624.1304, 344.67172
-629.3253, 345.36737
-632.93384, 357.4359
-638.38245, 332.46255
-642.3523, 351.08932
-646.1748, 359.9703
-650.7555, 324.35187
-655.66077, 354.67065
-663.08154, 342.5684
-666.0906, 334.99112
-669.91144, 347.08765
-676.39746, 347.78214
-680.1212, 357.96298
-684.9946, 348.8645
-691.35986, 357.8518
-693.97253, 352.69962
-700.3053, 347.94522
-704.1113, 384.03793
-710.9295, 374.06378
-717.32355, 386.89777
-721.4896, 367.00827
-727.6197, 362.42352
-732.4291, 370.8895
-736.42676, 363.53622
-738.4444, 371.8454
-744.7588, 378.13712
-750.902, 354.8201
-753.0332, 351.76706
-760.5088, 341.67383
-765.21326, 353.07224
-767.34875, 375.16077
-774.0388, 359.04654
-777.574, 372.85483
-783.3528, 382.17676
-789.5581, 391.9021
-795.3855, 367.2196
-799.0758, 402.53662
-805.74036, 368.19055
-808.8745, 406.82846
-815.60706, 366.37802
-820.8562, 379.65015
-826.03687, 417.93088
-832.6402, 397.85016
-838.7093, 383.0628
-843.3866, 402.50778
-849.86786, 403.23578
-855.4098, 410.32642
-862.7309, 436.62042
-869.7418, 396.39206
-873.2575, 392.54755
-881.0838, 383.2448
-884.69507, 390.5546
-890.4464, 392.8367
-897.03125, 394.93484
-903.8019, 430.22217
-908.87805, 408.0853
-914.90283, 411.40677
-920.95776, 395.17386
-926.65356, 396.2233
-932.678, 418.98193
-939.47107, 391.66464
-945.61194, 393.2181
-953.7958, 361.20273
-959.4958, 374.90643
-965.27014, 371.19913
-970.2584, 392.53116
-977.6926, 389.3787
-984.75903, 384.94406
-991.05237, 375.80283
-994.187, 404.4659
-1001.7051, 374.1326
-1007.874, 390.15405
-1014.38745, 399.2931
-1020.0028, 366.0922
-1026.9265, 382.8105
-1030.9971, 389.72
-1038.6068, 408.57193
-1041.873, 387.68536
-1047.5011, 365.33777
-1048.8662, 400.6656
-1055.0653, 378.02475
-1058.0061, 388.92462
-1062.737, 403.11725
