E,KE
2421.1472, 2515.3425
2444.2485, 2511.135
2494.2437, 2542.1882
2551.0205, 2584.3027
2637.6467, 2662.1716
2744.3503, 2763.8198
2864.5903, 2886.6196
2993.6235, 3015.685
3117.2253, 3133.986
3234.2004, 3247.4583
3323.9663, 3335.8982
3405.1838, 3421.0913
3468.14, 3485.7988
3514.1313, 3520.1658
3567.1558, 3580.0557
3586.4863, 3596.5278
3594.2603, 3605.4412
3594.3772, 3603.7524
3598.4749, 3602.8154
3599.3252, 3612.137
3574.5718, 3584.9185
3570.2656, 3581.4106
3548.3694, 3554.46
3519.2434, 3526.3135
3487.3027, 3495.5151
3444.7334, 3453.9531
3429.6685, 3441.7617
3381.6953, 3390.3296
3376.8582, 3376.7546
3349.5725, 3357.8628
3327.343, 3337.783
3302.6436, 3310.2053
3322.4443, 3328.4048
3346.8442, 3355.4954
3361.703, 3369.8325
3386.4885, 3391.4392
3431.1492, 3440.0208
3470.0076, 3475.1858
3501.0605, 3509.3267
3535.631, 3538.9463
3592.6958, 3602.2402
3656.839, 3668.6084
3732.6384, 3743.2495
3812.959, 3819.0637
3879.7974, 3887.4482
3977.3381, 3987.4395
4059.5486, 4066.5032
4147.9917, 4158.1514
4246.3516, 4254.4336
4327.763, 4332.187
4400.814, 4412.667
4497.176, 4510.7007
4600.69, 4602.646
4677.5347, 4688.5605
4748.922, 4762.2285
4876.9214, 4889.553
4943.0615, 4957.683
5014.549, 5020.495
2478.4834, 2495.9465
2431.78, 2445.7222
2479.1465, 2488.86
2524.753, 2538.8335
2605.1938, 2622.071
2667.9849, 2678.6274
2736.0488, 2749.011
2790.2344, 2810.0151
2838.478, 2849.05
2933.516, 2951.164
2988.0708, 3011.7554
3084.261, 3101.2148
3153.5427, 3170.209
3198.5154, 3221.3289
3279.275, 3302.7378
3331.9944, 3351.7412
3398.3088, 3409.9724
3477.6692, 3504.514
3530.156, 3555.2764
3605.1775, 3631.627
3670.8228, 3691.3184
3710.3723, 3732.266
3781.9004, 3803.898
3840.9473, 3854.252
2227.137, 2258.518
2027.7969, 2059.7673
2062.6497, 2088.4177
2120.3022, 2156.2944
2156.8103, 2185.571
2211.3315, 2244.955
2262.4827, 2298.4893
2340.468, 2374.204
2397.2515, 2440.0166
2467.2908, 2508.9666
2538.22, 2579.351
2605.4734, 2642.894
2674.8228, 2729.872
2742.6267, 2797.3782
2813.1233, 2860.9128
2819.467, 2868.9492
2862.9937, 2916.2344
2873.0078, 2922.9094
2868.7239, 2918.6553
2869.3308, 2913.8806
2863.4956, 2910.7756
2839.2686, 2891.5974
2853.952, 2899.5442
2836.2317, 2879.09
2834.436, 2874.8171
2834.913, 2877.096
2805.7244, 2846.8513
2795.8616, 2840.3035
2761.3574, 2809.615
2746.4219, 2784.6814
2717.4443, 2757.2393
2699.9954, 2742.3215
2692.878, 2736.2244
2675.2222, 2728.879
2692.0498, 2732.0522
2658.508, 2704.431
2661.8445, 2703.5144
2648.8381, 2686.4495
2636.648, 2674.4014
2626.5894, 2672.6106
2632.8838, 2672.8586
2613.4875, 2650.5398
2619.4949, 2659.8152
2617.285, 2660.6724
2617.1753, 2663.3142
2625.1965, 2663.7527
2613.5225, 2661.306
2630.695, 2667.4663
2622.5105, 2678.928
2646.0166, 2691.2324
2658.7397, 2700.2666
2679.4836, 2724.7478
2694.1821, 2727.1162
2716.73, 2758.9878
2711.5588, 2752.5654
2721.3015, 2766.7021
2733.5684, 2778.7053
2748.4448, 2791.6975
2747.3582, 2786.667
2740.0112, 2777.2178
2723.2903, 2765.3015
2745.8652, 2785.1196
2752.5828, 2797.6553
2749.7756, 2797.4888
2752.637, 2806.4407
2730.6948, 2773.0415
2732.8745, 2764.2334
2712.3557, 2750.2913
2719.645, 2764.8997
2695.2305, 2740.5774
2698.1394, 2747.66
2690.2522, 2732.8862
2706.9915, 2743.1426
2715.844, 2763.7754
2715.1414, 2758.8586
2733.1267, 2777.1006
2716.1565, 2757.829
2723.5715, 2763.8848
2727.7625, 2771.316
2729.34, 2783.0593
2750.931, 2793.2854
2750.1335, 2781.256
2753.0237, 2800.4663
2741.9004, 2785.8298
2758.3843, 2807.054
2778.5515, 2825.9978
2772.8157, 2818.6257
2770.2234, 2816.1672
2763.7664, 2813.0283
2785.7021, 2833.441
2778.9553, 2832.4563
2771.726, 2819.4204
2765.766, 2817.8215
2766.3386, 2812.607
2753.811, 2802.6033
2763.742, 2811.5645
2748.8816, 2777.9172
2742.9548, 2777.7903
2749.5063, 2806.34
2739.5232, 2786.0176
2723.902, 2774.3835
2721.1406, 2771.0037
2713.5933, 2757.1025
2726.895, 2763.2754
2728.2424, 2777.045
2726.8264, 2780.3943
2712.6226, 2761.9448
2720.2498, 2768.6526
2742.774, 2786.8281
2749.0852, 2795.28
2758.6824, 2807.7395
2742.3582, 2783.2197
2749.0806, 2796.2751
2753.0684, 2795.8037
2739.2317, 2776.2356
2727.4233, 2760.3574
2724.0771, 2768.8635
2706.093, 2747.2153
2733.7085, 2771.0403
2716.3018, 2749.9348
2728.2747, 2767.9045
2713.233, 2753.387
2713.32, 2755.9443
2729.7173, 2765.8076
2730.6316, 2759.6438
2727.5334, 2762.2532
2718.6213, 2751.331
2718.1199, 2750.4592
2720.9636, 2756.6243
2711.4949, 2739.2388
2724.665, 2751.7014
