E,KE
781.4795, 791.64496
770.1514, 776.8917
771.2212, 780.46155
747.2322, 755.0257
760.6168, 772.215
751.2182, 762.0234
742.3695, 753.06964
733.635, 743.7505
764.646, 771.42633
767.0801, 776.49036
765.91766, 773.96893
759.922, 771.46765
767.24304, 780.6468
736.5427, 748.0507
743.2901, 750.8985
756.23505, 769.1769
747.88104, 757.5175
755.156, 764.8717
760.716, 769.35077
784.2079, 799.30273
778.94183, 785.89526
777.0634, 787.729
783.32745, 794.479
765.2495, 773.3704
686.57104, 694.4479
681.0999, 692.7234
687.7715, 697.4248
671.33093, 682.44666
666.7596, 676.91907
634.5399, 644.85596
627.2063, 636.09644
648.38043, 658.22064
652.41223, 663.8928
677.22186, 685.8673
674.3924, 682.9377
673.10974, 685.18726
667.53644, 676.40173
645.8339, 649.5398
629.8325, 639.47205
648.0488, 658.325
637.44727, 649.06915
639.3114, 650.9878
637.5039, 649.711
642.7738, 654.8623
634.32446, 643.1074
644.1587, 652.4689
643.59534, 652.625
651.4439, 656.16345
653.1888, 665.50195
653.3655, 659.7183
655.04504, 662.74994
654.0146, 667.6061
653.97864, 664.3446
641.2581, 652.5514
637.29944, 648.9733
614.0487, 624.7968
625.8013, 638.5619
625.1937, 631.8243
596.18097, 608.1492
619.308, 629.0018
610.841, 624.8432
591.4602, 606.1115
572.376, 578.377
588.52075, 601.3902
569.6157, 582.26184
579.52325, 590.5543
595.71686, 606.33417
574.5697, 588.4226
575.9694, 589.3418
577.3679, 589.8504
583.37085, 592.0787
561.1997, 573.858
555.2967, 563.99414
547.32056, 559.10535
536.1429, 547.2172
528.6598, 539.84094
526.8664, 539.2109
530.62823, 542.33325
532.6125, 546.1007
543.6737, 551.1948
552.2918, 564.1628
548.36615, 559.97455
550.73566, 563.67645
532.90546, 546.0806
538.4992, 551.71796
502.49002, 513.2436
539.9017, 553.2152
534.7789, 545.27344
539.3858, 553.5171
528.43024, 536.58124
539.2802, 552.13965
547.4414, 559.4228
539.026, 547.3519
572.8713, 586.3448
561.0719, 573.05774
565.34906, 580.8039
558.7434, 572.9435
535.837, 547.5199
558.77454, 572.7232
534.53143, 542.6982
