E,KE
1098.9196, 1103.99
1105.3262, 1109.2831
1092.5072, 1095.8903
1096.8524, 1100.1084
1081.0037, 1086.4675
1078.991, 1081.7764
1088.7106, 1093.2451
1096.5065, 1103.4572
1087.3778, 1092.4926
1090.5952, 1094.5645
1076.4318, 1082.8252
1062.7283, 1071.3494
1060.6058, 1065.3502
1056.8705, 1062.3851
1040.6484, 1047.0796
1037.342, 1044.5759
1023.28326, 1030.1813
1011.3766, 1013.13214
1018.1132, 1024.0256
1003.4038, 1006.5118
1012.41943, 1019.08966
1005.979, 1009.46063
1015.7373, 1022.47656
1005.3284, 1009.2134
1006.0355, 1012.6838
1007.70294, 1013.42975
1001.7297, 1009.2764
1002.47034, 1007.98206
998.6302, 1002.4083
1001.4154, 1009.683
988.3221, 997.0691
981.3134, 988.5246
978.1304, 983.9102
970.0564, 977.74536
954.3436, 959.12897
950.9318, 957.9715
953.4941, 959.8038
938.261, 942.27545
941.7781, 946.8488
932.057, 938.6244
937.34814, 941.86633
935.6606, 941.9209
929.69006, 933.6125
916.9431, 923.38586
918.2194, 922.656
912.6195, 920.0478
913.23254, 917.72394
912.2892, 915.6822
914.4073, 920.80005
904.0155, 911.5492
907.3448, 914.6581
896.2273, 902.5608
887.7833, 894.8077
883.1351, 888.3366
886.1711, 891.662
899.04913, 907.5176
888.25714, 894.81976
893.93805, 900.68774
875.7791, 881.7861
874.54535, 881.29974
871.13617, 877.6773
870.42456, 880.3373
874.9886, 882.7756
871.55664, 875.6463
866.7156, 877.9296
873.01666, 881.7532
871.68787, 879.33527
860.8643, 866.8736
852.8746, 857.3894
840.91174, 849.5197
832.8033, 840.2807
826.2185, 832.0361
824.01166, 829.69476
818.0181, 822.5875
820.7174, 827.5977
812.0356, 818.9942
808.3445, 816.1897
798.45685, 802.0028
785.01, 790.7496
786.4711, 792.9277
776.54266, 784.2155
778.7873, 783.86115
774.79004, 779.62427
774.1652, 784.5525
773.3432, 781.3435
775.5293, 782.25525
765.9331, 769.47577
762.58777, 769.5533
768.32715, 775.2668
762.7236, 768.4895
770.4876, 774.13727
757.2909, 763.6637
769.5435, 777.54126
749.26025, 756.2053
753.5318, 759.62665
754.87463, 760.50476
748.27954, 753.4251
750.63684, 761.25183
750.7926, 757.6264
735.4851, 744.46216
743.756, 750.2885
735.2797, 741.7525
746.4083, 752.2175
742.01697, 751.64185
735.21564, 740.5243
721.49615, 727.632
724.2244, 734.88184
709.666, 717.9031
704.741, 711.38574
707.3934, 713.15656
710.7728, 716.01514
714.9632, 722.60095
701.2093, 706.129
702.1319, 708.7264
700.0515, 707.3268
699.69977, 702.138
694.9039, 699.6651
687.0594, 693.86505
684.73065, 691.71826
691.275, 696.67596
690.50964, 698.48395
683.9633, 691.26685
693.57306, 702.9124
695.8001, 707.63403
702.72943, 710.94025
689.8782, 697.16504
682.9403, 689.0359
689.437, 697.37024
681.21814, 687.59875
673.58563, 678.76764
672.745, 682.0483
664.1327, 672.3558
659.53906, 669.09204
660.6581, 669.4781
655.5268, 664.5461
647.7765, 657.792
652.76074, 663.03436
647.3996, 657.7948
649.0065, 660.48865
652.61365, 662.6037
654.28467, 665.93494
644.8466, 656.2521
640.7946, 649.4393
645.678, 653.63885
644.01404, 651.16473
635.636, 645.6575
628.7314, 638.7564
631.0161, 639.62976
631.81665, 643.3008
633.9842, 643.5357
633.0404, 642.8987
633.0492, 644.72314
631.33997, 641.0865
626.33185, 634.8134
629.5715, 638.6853
622.1498, 629.3171
622.1728, 630.62463
626.87115, 635.2791
634.10675, 643.038
640.68384, 649.408
639.8005, 648.32513
632.4632, 641.27
632.4956, 643.6287
630.1108, 635.95355
624.103, 631.4728
618.36646, 627.5904
618.6651, 628.76166
618.88885, 626.45447
617.12, 628.01337
613.5263, 622.6557
603.4078, 614.0247
594.9381, 605.54736
596.0324, 607.28485
593.51355, 605.5769
588.14453, 599.51044
595.169, 604.04376
596.0972, 608.6649
593.6326, 605.8317
596.5644, 606.5928
590.2168, 600.0079
579.3716, 588.0638
591.8916, 600.2716
598.4148, 604.7326
596.78516, 602.68756
596.44305, 606.9438
591.214, 599.4554
589.8384, 598.5533
597.1611, 607.33307
592.82935, 601.75964
601.22626, 610.2936
599.54047, 605.80383
598.861, 606.47595
600.604, 612.1821
600.07794, 611.90875
596.8902, 608.29474
587.8699, 599.782
588.65375, 597.7432
593.2578, 603.91925
589.16095, 603.54816
585.62036, 598.40717
587.13617, 596.67694
592.1131, 603.1794
603.58075, 616.0768
595.5033, 604.4349
599.5475, 611.539
594.40674, 602.579
595.70184, 605.6719
595.52185, 605.7414
589.60724, 601.2039
593.8408, 603.9574
584.1734, 598.27264
594.1355, 607.57904
591.68774, 603.1461
586.01636, 597.9117
575.12036, 584.8372
581.9028, 591.41455
576.8851, 585.011
576.6965, 589.3293
570.66626, 585.16266
557.22327, 570.4927
552.3528, 564.7443
547.00354, 557.9249
542.65466, 552.20355
543.59827, 551.281
550.5092, 561.1254
547.6199, 559.37775
547.87537, 558.29315
545.7927, 558.80023
539.92865, 551.42004
